city,customer_id,email,first_name,last_name,phone,state,street,zip_code
Orchard Park,1,debra.burks@yahoo.com,Debra,Burks,None,NY,9273 Thorne Ave.,14127
Campbell,2,kasha.todd@yahoo.com,Kasha,Todd,None,CA,910 Vine Street,95008
Redondo Beach,3,tameka.fisher@aol.com,Tameka,Fisher,None,CA,769C Honey Creek St.,90278
Uniondale,4,daryl.spence@aol.com,Daryl,Spence,None,NY,988 Pearl Lane,11553
Sacramento,5,charolette.rice@msn.com,Charolette,Rice,(916) 381-6003,CA,107 River Dr.,95820
Fairport,6,lyndsey.bean@hotmail.com,Lyndsey,Bean,None,NY,769 West Road,14450
Buffalo,7,latasha.hays@hotmail.com,Latasha,Hays,(716) 986-3359,NY,7014 Manor Station Rd.,14215
Jackson Heights,8,jacquline.duncan@yahoo.com,Jacquline,Duncan,None,NY,15 Brown St.,11372
Port Washington,9,genoveva.baldwin@msn.com,Genoveva,Baldwin,None,NY,8550 Spruce Drive,11050
Monroe,10,pamelia.newman@gmail.com,Pamelia,Newman,None,NY,476 Chestnut Ave.,10950
Monsey,11,deshawn.mendoza@yahoo.com,Deshawn,Mendoza,None,NY,8790 Cobblestone Street,10952
Hempstead,12,robby.sykes@hotmail.com,Robby,Sykes,(516) 583-7761,NY,486 Rock Maple Street,11550
Longview,13,lashawn.ortiz@msn.com,Lashawn,Ortiz,None,TX,27 Washington Rd.,75604
Forney,14,garry.espinoza@hotmail.com,Garry,Espinoza,None,TX,7858 Rockaway Court,75126
Plattsburgh,15,linnie.branch@gmail.com,Linnie,Branch,None,NY,314 South Columbia Ave.,12901
New York,16,emmitt.sanchez@hotmail.com,Emmitt,Sanchez,(212) 945-8823,NY,461 Squaw Creek Road,10002
Scarsdale,17,caren.stephens@msn.com,Caren,Stephens,None,NY,914 Brook St.,10583
Canandaigua,18,georgetta.hardin@aol.com,Georgetta,Hardin,None,NY,474 Chapel Dr.,14424
Orchard Park,19,lizzette.stein@yahoo.com,Lizzette,Stein,None,NY,19 Green Hill Lane,14127
Sugar Land,20,aleta.shepard@aol.com,Aleta,Shepard,None,TX,684 Howard St.,77478
Victoria,21,tobie.little@gmail.com,Tobie,Little,None,TX,10 Silver Spear Dr.,77904
East Northport,22,adelle.larsen@gmail.com,Adelle,Larsen,None,NY,683 West Kirkland Dr.,11731
Hollis,23,kaylee.english@msn.com,Kaylee,English,None,NY,8786 Fulton Rd.,11423
Atwater,24,corene.wall@msn.com,Corene,Wall,None,CA,9601 Ocean Rd.,95301
Mahopac,25,regenia.vaughan@gmail.com,Regenia,Vaughan,None,NY,44 Stonybrook Street,10541
Long Beach,26,theo.reese@gmail.com,Theo,Reese,(562) 215-2907,NY,8755 W. Wild Horse St.,11561
Sunnyside,27,santos.valencia@yahoo.com,Santos,Valencia,None,NY,7479 Carpenter Street,11104
Ossining,28,jeanice.frost@hotmail.com,Jeanice,Frost,None,NY,76 Devon Lane,10562
Mahopac,29,syreeta.hendricks@msn.com,Syreeta,Hendricks,None,NY,193 Spruce Road,10541
Torrance,30,jamaal.albert@gmail.com,Jamaal,Albert,None,CA,853 Stonybrook Street,90505
Oakland,31,williemae.holloway@msn.com,Williemae,Holloway,(510) 246-8375,CA,69 Cypress St.,94603
Fullerton,32,araceli.golden@msn.com,Araceli,Golden,None,CA,12 Ridgeview Ave.,92831
Palos Verdes Peninsula,33,deloris.burke@hotmail.com,Deloris,Burke,None,CA,895 Edgemont Drive,90274
East Northport,34,brittney.woodward@aol.com,Brittney,Woodward,None,NY,960 River St.,11731
Baldwinsville,35,guillermina.noble@msn.com,Guillermina,Noble,None,NY,6 Del Monte Lane,13027
Liverpool,36,bernita.mcdaniel@hotmail.com,Bernita,Mcdaniel,None,NY,2 Peg Shop Ave.,13090
Maspeth,37,melia.brady@gmail.com,Melia,Brady,None,NY,907 Shirley Rd.,11378
Astoria,38,zelma.browning@aol.com,Zelma,Browning,None,NY,296 Second Street,11102
Lancaster,39,janetta.aguirre@aol.com,Janetta,Aguirre,(717) 670-2634,NY,214 Second Court,14086
Encino,40,ronna.butler@gmail.com,Ronna,Butler,None,CA,9438 Plymouth Court,91316
Queensbury,41,kathie.freeman@msn.com,Kathie,Freeman,None,NY,667 Temple Dr.,12804
Richmond Hill,42,tangela.quinn@aol.com,Tangela,Quinn,None,NY,4 S. Purple Finch Road,11418
Houston,43,mozelle.carter@aol.com,Mozelle,Carter,(281) 489-9656,TX,895 Chestnut Ave.,77016
Elmont,44,onita.johns@msn.com,Onita,Johns,None,NY,32 Glen Creek Lane,11003
Bethpage,45,bennett.armstrong@aol.com,Bennett,Armstrong,None,NY,688 Walnut Street,11714
Encino,46,monika.berg@gmail.com,Monika,Berg,None,CA,369 Vernon Dr.,91316
San Lorenzo,47,bridgette.guerra@hotmail.com,Bridgette,Guerra,None,CA,9982 Manor Drive,94580
Liverpool,48,cesar.jackson@gmail.com,Cesar,Jackson,None,NY,8068 N. Griffin Ave.,13090
Fairport,49,caroll.hays@yahoo.com,Caroll,Hays,None,NY,9381 Wrangler St.,14450
Sugar Land,50,cleotilde.booth@gmail.com,Cleotilde,Booth,None,TX,17 Corona St.,77478
Merrick,51,gertrud.rhodes@aol.com,Gertrud,Rhodes,None,NY,9961 Meadowbrook Street,11566
East Elmhurst,52,tu.ramirez@hotmail.com,Tu,Ramirez,None,NY,24 W. Courtland Street,11369
Glendora,53,saturnina.garner@gmail.com,Saturnina,Garner,None,CA,8538 Fairground St.,91740
Utica,54,fran.yang@hotmail.com,Fran,Yang,None,NY,440 Pearl St.,13501
Merrick,55,diana.guerra@hotmail.com,Diana,Guerra,None,NY,45 Chapel Ave.,11566
Houston,56,lolita.mosley@hotmail.com,Lolita,Mosley,(281) 363-3309,TX,376 S. High Ridge St.,77016
Bronx,57,pamala.henry@aol.com,Pamala,Henry,None,NY,197 Bridgeton Ave.,10451
Central Islip,58,damien.dorsey@yahoo.com,Damien,Dorsey,None,NY,161 Old York Street,11722
Rockville Centre,59,latasha.stanley@gmail.com,Latasha,Stanley,None,NY,8068 Fordham Drive,11570
San Carlos,60,neil.mccall@gmail.com,Neil,Mccall,None,CA,7476 Oakland Dr.,94070
San Angelo,61,elinore.aguilar@msn.com,Elinore,Aguilar,None,TX,9766 Rockcrest Ave.,76901
East Elmhurst,62,alica.hunter@hotmail.com,Alica,Hunter,None,NY,8 San Juan Drive,11369
Amityville,63,tenisha.lyons@aol.com,Tenisha,Lyons,None,NY,78 E. Rock Creek Street,11701
Desoto,64,bobbie.foster@yahoo.com,Bobbie,Foster,None,TX,988 Pineknoll Ave.,75115
Rome,65,kanesha.vega@gmail.com,Kanesha,Vega,None,NY,771 E. Oxford Drive,13440
Garland,66,lorrie.becker@yahoo.com,Lorrie,Becker,None,TX,19 North Court,75043
Sacramento,67,tommie.melton@gmail.com,Tommie,Melton,(916) 802-2952,CA,8 West Old York St.,95820
Rowlett,68,jayne.kirkland@hotmail.com,Jayne,Kirkland,None,TX,7800 Second Lane,75088
Rocklin,69,katelin.kennedy@gmail.com,Katelin,Kennedy,None,CA,286 Myrtle Lane,95677
East Elmhurst,70,tomasa.carson@aol.com,Tomasa,Carson,None,NY,10 Clark Avenue,11369
Bronx,71,takako.casey@aol.com,Takako,Casey,None,NY,7548 Court Lane,10451
South El Monte,72,petronila.norris@aol.com,Petronila,Norris,None,CA,72 South Marshall Lane,91733
Liverpool,73,melanie.hayes@msn.com,Melanie,Hayes,None,NY,5 N. Hall Dr.,13090
North Tonawanda,74,georgeann.waller@yahoo.com,Georgeann,Waller,None,NY,9797 Bald Hill Ave.,14120
